season,episode,episode_title,companions,year_came_out,series_type,story_title,doctor_num,episode_mood,missing,vibe_tags,villains,setting,imdb_rating,plot_summary
1,1,Rose,Rose,2006,Modern,Rose,9,Emotional Reunion,0,"Dark, Mysterious, Urban",Autons,"London, Past, 2006",7.5,When ordinary shop-worker Rose Tyler meets a mysterious stranger called the Doctor she is drawn into his strange and dangerous world; her life will never be the same again.
1,2,The End of the World,Rose,2006,Modern,The End of the World,9,Bittersweet,0,"Futuristic, Mysterious, Apocalyptic",Lady Cassandra,"Space Station, Future",7.5,"The Doctor takes Rose on her first voyage through time, to the year five billion and the end of planet Earth."
1,3,The Unquiet Dead,Rose,2006,Modern,The Unquiet Dead,9,"Dark, Haunting",0,"Gothic, Victorian, Mysterious",The Gelth,"Cardiff, Past, 1860",7.4,The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.
1,4,Aliens of London,Rose,2006,Modern,Aliens of London,9,"Dark, Humorous",0,"Urban, Mysterious, Political",Slitheen,"London, Past, 2006",6.9,"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time o..."
1,5,World War Three,Rose,2006,Modern,World War Three,9,Ominous,0,"Political, Dark, Suspenseful",Slitheen,"London, Past, 2006",6.9,The Slitheen have infiltrated Parliament and have the Doctor and his friends trapped as the Doctor works to prevent them from starting World War Three.
1,6,Dalek,Rose,2006,Modern,Dalek,9,"Dark, Intense",0,"Gritty, Ominous, Tense",Daleks,"Utah, Present, 2012",8.6,"The TARDIS is drawn to an alien museum deep below the Utah desert, where a ruthless billionaire keeps prisoner the last of the Doctor's most fearsome enemies."
1,7,The Long Game,"Rose, other",2006,Modern,The Long Game,9,"Dark, Satirical",0,Futuristic Corporate Gritty,"The Editor, Simm","Satellite 5, Future, 200000",7,"In the year 200,000 the Doctor discovers that a satellite with a dark secret is controlling humanity and slowing its development."
1,8,Father's Day,Rose,2006,Modern,Father's Day,9,"Emotional, Sad",0,"Dark, Mysterious, Intense",Reapers,"London, Past, 1987",8.3,"Rose asks The Doctor to take her to 1987, on the day her father was killed."
1,9,The Empty Child,"Rose, Jack",2006,Modern,The Empty Child,9,Ominous,0,"Dark, Mysterious, Haunting",The Empty Child,"London, Past, 1941",9,"When a spaceship crashes in the middle of the London Blitz the Doctor, Rose and the enigmatic Captain Jack Harkness find themselves investigating a plague of physical injuries and a little boy in a gas mask."
1,10,The Doctor Dances,"Rose, Jack",2006,Modern,The Doctor Dances,9,"Dark, Comedic",0,"Mysterious, Dark, Gothic",The Empty Child,"London, Past, 1941",9,The gas mask zombies are on the rise as the plague spreads across war-torn London.
